Code,Class
"#include <iostream>
#include <vector>
#include <algorithm>

class Person {
public:
    std::string name;
    int age;

    Person(std::string n, int a) : name(n), age(a) {}
};

bool compareByAge(const Person &a, const Person &b) {
    return a.age < b.age;
}

int main() {
    std::vector<Person> people = {{""Alice"", 30}, {""Bob"", 25}, {""Charlie"", 35}};
    
    std::sort(people.begin(), people.end(), compareByAge);

    for (const auto &person : people) {
        std::cout << person.name << "" is "" << person.age << "" years old."" << std::endl;
    }

    return 0;
}
",C++
"class Person:
    def __init__(self, name, age):
        self.name = name
        self.age = age

def compare_by_age(person):
    return person.age

people = [Person(""Alice"", 30), Person(""Bob"", 25), Person(""Charlie"", 35)]
people.sort(key=compare_by_age)

for person in people:
    print(f""{person.name} is {person.age} years old."")
",Python
"import java.util.ArrayList;
import java.util.Collections;
import java.util.Comparator;

class Person {
    String name;
    int age;

    Person(String name, int age) {
        this.name = name;
        this.age = age;
    }
}

class CompareByAge implements Comparator<Person> {
    public int compare(Person a, Person b) {
        return a.age - b.age;
    }
}

public class Main {
    public static void main(String[] args) {
        ArrayList<Person> people = new ArrayList<>();
        people.add(new Person(""Alice"", 30));
        people.add(new Person(""Bob"", 25));
        people.add(new Person(""Charlie"", 35));

        Collections.sort(people, new CompareByAge());

        for (Person person : people) {
            System.out.println(person.name + "" is "" + person.age + "" years old."");
        }
    }
}
",Java
"import Foundation

class Person {
    var name: String
    var age: Int

    init(name: String, age: Int) {
        self.name = name
        self.age = age
    }
}

func compareByAge(_ a: Person, _ b: Person) -> Bool {
    return a.age < b.age
}

let people = [
    Person(name: ""Alice"", age: 30),
    Person(name: ""Bob"", age: 25),
    Person(name: ""Charlie"", age: 35)
]

let sortedPeople = people.sorted(by: compareByAge)

for person in sortedPeople {
    print(""\(person.name) is \(person.age) years old."")
}
",Swift
"int factorial(int n) {
    if (n == 0) {
        return 1;
    } else {
        return n * factorial(n-1);
    }
}
",C++
"public class Factorial {
    public static int factorial(int n) {
        if (n == 0) {
            return 1;
        } else {
            return n * factorial(n-1);
        }
    }
}
",Java
"func factorial(_ n: Int) -> Int {
    if n == 0 {
        return 1
    } else {
        return n * factorial(n-1)
    }
}
",Swift
"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)
",Python
"protocol Describable {
    func describe() -> String
}

extension Int: Describable {
    func describe() -> String {
        return ""This is an integer: \(self)""
    }
}

extension String: Describable {
    func describe() -> String {
        return ""This is a string: \(self)""
    }
}

let number: Int = 42
let text: String = ""Hello, Swift!""

print(number.describe())
print(text.describe())
",Swift
"def read_file(file_path):
    with open(file_path, 'r') as file:
        content = file.read()
    return content

def write_file(file_path, content):
    with open(file_path, 'w') as file:
        file.write(content)

file_path = 'example.txt'
write_file(file_path, 'Hello, World!')
print(read_file(file_path))
",Python
"import java.util.Arrays;
import java.util.List;

public class LambdaExample {
    public static void main(String[] args) {
        List<String> names = Arrays.asList(""Alice"", ""Bob"", ""Charlie"");

        names.forEach(name -> System.out.println(name));
    }
}
",Java
"#include <iostream>

template <typename T>
T add(T a, T b) {
    return a + b;
}

int main() {
    std::cout << ""Sum of integers: "" << add(3, 4) << std::endl;
    std::cout << ""Sum of doubles: "" << add(3.5, 4.5) << std::endl;
    return 0;
}
",C++
"def my_decorator(func):
    def wrapper():
        func()
    return wrapper

@my_decorator
def say_hello():
    print(""Hello!"")

say_hello()
",Python
"let names = [""Alice"", ""Bob"", ""Charlie""]

let sortedNames = names.sorted { $0 < $1 }
print(""Sorted Names: \(sortedNames)"")
",Swift
"class Animal:
    def __init__(self, name):
        self.name = name

    def speak(self):
        raise NotImplementedError(""Subclass must implement abstract method"")

class Dog(Animal):
    def speak(self):
        return f""{self.name} says Woof!""

class Cat(Animal):
    def speak(self):
        return f""{self.name} says Meow!""

animals = [Dog(""Buddy""), Cat(""Whiskers"")]
for animal in animals:
    print(animal.speak())
",Python
"import java.io.BufferedReader;
import java.io.FileReader;
import java.io.IOException;

public class FileReadExample {
    public static void main(String[] args) {
        String filePath = ""example.txt"";

        try (BufferedReader br = new BufferedReader(new FileReader(filePath))) {
            String line;
            while ((line = br.readLine()) != null) {
                System.out.println(line);
            }
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}
",Java
"#include <iostream>

void swap(int* a, int* b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}

int main() {
    int x = 10, y = 20;
    std::cout << ""Before swap: x = "" << x << "", y = "" << y << std::endl;
    swap(&x, &y);
    std::cout << ""After swap: x = "" << x << "", y = "" << y << std::endl;
    return 0;
}
",C++
"import Foundation

func fetchData(completion: @escaping (String) -> Void) {
    DispatchQueue.global().async {
        sleep(2)
        let data = ""Fetched data from server""
        DispatchQueue.main.async {
            completion(data)
        }
    }
}

print(""Fetching data..."")
fetchData { data in
    print(data)
}
print(""This will print before data is fetched"")
",Swift
"#include <iostream>
#include <math.h>
 
int main()
{
    std::cout << ""abs(-3) = "" << std::abs(-3) << ""\n"";
    std::cout << ""pow(-3, 2) = "" << std::pow(-3, 2) << ""\n"";
    std::cout << ""round(-3.4) = "" << std::round(-3.2) << ""\n"";
    std::cout << ""ceil(3.2) = "" << std::ceil(3.2) << ""\n"";
    std::cout << ""floor(3.2) = "" << std::floor(3.2) << ""\n"";
    std::cout << ""ceil(-3.2) = "" << std::ceil(-3.2) << ""\n"";
    std::cout << ""floor(-3.2) = "" << std::floor(-3.2) << ""\n"";
}",C++
"import UIKit

class CartViewController: UIViewController {
    
    @IBOutlet weak var cartView: UICollectionView!

    @IBOutlet weak var costLabel: UILabel!
    
    override func viewDidLoad() {
        super.viewDidLoad()
        cartView.dataSource = self
        cartView.delegate = self
        cartView.collectionViewLayout = UICollectionViewFlowLayout()
        // Do any additional setup after loading the view.
    }

    @IBAction func orderButtonTap(_ sender: Any) {
        let alert = UIAlertController(title: ""Are you sure?"", message: ""Want to order? All user info is located in your profile. So only thing you need is to confirm purchase"", preferredStyle: .alert)
        let CancelAction = UIAlertAction(title: ""Cancel"", style: .default) {
            (_) in
            self.dismiss(animated: true, completion: nil)
        }
        let OkAction = UIAlertAction(title: ""Confirm"", style: .default) {
            (_) in let thankYouVC = self.storyboard?.instantiateViewController(identifier: ""ThankYouViewController"") as! ThankYouViewController
            self.navigationController?.pushViewController(thankYouVC, animated: true)
        }
        alert.addAction(CancelAction)
        alert.addAction(OkAction)
        self.present(alert, animated: true, completion: nil)
    }
}

extension CartViewController: UICollectionViewDataSource {
    func collectionView(_ collectionView: UICollectionView, numberOfItemsInSection section: Int) -> Int {
        cart.count
    }
}

extension CartViewController: UICollectionViewDelegateFlowLayout {
    func collectionView(_ collectionView: UICollectionView, layout collectionViewLayout: UICollectionViewLayout, sizeForItemAt indexPath: IndexPath) -> CGSize {
        return CGSize(width: 361, height: 124)
    }
    
    func collectionView(_ collectionView: UICollectionView, cellForItemAt indexPath: IndexPath) -> UICollectionViewCell {
        let cell = collectionView.dequeueReusableCell(withReuseIdentifier: ""CartCollectionViewCell"", for: indexPath) as! CartCollectionViewCell
        let productInCartInfo = cart[indexPath.item]
        cell.imageView.image = productInCartInfo.exactImage
        cell.nameLabel.text = productInCartInfo.exactName
        cell.priceLabel.text = productInCartInfo.exactPrice
        cell.indexPath = indexPath
        cell.productsCollection = collectionView
        cell.contentView.layer.borderWidth = 1.0
        cell.contentView.layer.borderColor = UIColor.gray.cgColor
        cell.contentView.layer.cornerRadius = 10
        return cell
    }
}",Swift
